Time	OTF	Algorithm	Param	States	StateConfig	OtfStateConfig	AlgorithmParam	AlgorithmStateConfig	AlgorithmParamStateConfig	ExecutionTime	ExecutionTimeNormalized
48930	0.1477621091354997	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	479.22949	2.938255610055181
15030	0.1417165668662675	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	51.367855	1.025306487025948
14730	0.1446028513238289	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	60.351007	1.2291447454175153
31830	0.1423185673892554	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	179.407628	1.690929575871819
19830	0.1376701966717095	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	88.390324	1.3372212405446295
29730	0.1422805247225025	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	191.295844	1.9303314228052473
15030	0.1417165668662675	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	51.58112	1.0295632734530937
30630	0.1478942213516161	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	173.800952	1.7022620176297747
36030	0.1423813488759367	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	264.332091	2.2009333139050793
13530	0.1352549889135255	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	34.581906	0.7667828381374722
19830	0.1376701966717095	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	75.222783	1.1380148714069593
11430	0.1338582677165354	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	28.444049	0.7465629658792651
31830	0.1423185673892554	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	199.954313	1.8845835344015083
33630	0.143621766280107	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	178.500403	1.5923318733273863
42930	0.1474493361285814	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	341.658041	2.387547456324249
55830	0.1456206340677055	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	523.50233	2.813016281569049
17730	0.1370558375634518	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	64.946452	1.0989247377326563
13530	0.1352549889135255	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	41.748513	0.9256876496674058
