Time	OTF	Violation	Algorithm	Param	States	StateConfig	OtfStateConfig	AlgorithmParam	AlgorithmStateConfig	AlgorithmParamStateConfig	ExecutionTime	ExecutionTimeNormalized
15930	0.09604519774011298	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	58.14525	1.0950141242937852
20730	0.08827785817655572	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	99.130292	1.4345917800289436
12930	0.09512761020881672	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	39.917996	0.9261716009280743
14130	0.08704883227176222	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	43.695986	0.9277279405520169
28230	0.09670563230605739	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	173.028968	1.838777555791711
10530	0.08831908831908832	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	21.946981	0.625270113960114
11130	0.08355795148247978	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	26.200033	0.7062003504043127
10530	0.08831908831908832	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	24.63939	0.701976923076923
23430	0.09090909090909091	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	117.469057	1.5040852368758004
30630	0.09892262487757102	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	159.937343	1.5664774045053869
25830	0.09407665505226481	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	139.825012	1.6239838792102206
11730	0.0792838874680307	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	30.953462	0.7916486445012787
14130	0.08704883227176222	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	42.660051	0.9057335668789809
9630	0.09657320872274143	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	21.403331	0.6667704361370717
17130	0.0893169877408056	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	65.880729	1.1537780910683013
30930	0.0979631425800194	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	186.357961	1.8075456935014549
34530	0.09643788010425718	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	215.270241	1.8702888010425718
19830	0.09228441754916793	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	89.893046	1.3599553101361574
9630	0.09657320872274143	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	24.73038	0.7704168224299065
9930	0.09365558912386707	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	23.827713	0.7198704833836858
